Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,104,C_0402_1005Metric,291.30625,-26.19375,180,bottom
C2,104,C_0402_1005Metric,150.8125,-26.19375,180,bottom
C3,104,C_0402_1005Metric,215.10625,-26.19375,180,bottom
C4,104,C_0402_1005Metric,167.48125,-45.24375,180,bottom
C5,1uF,C_0402_1005Metric,376.357053,-35.014106,315,bottom
C6,1uF,C_0402_1005Metric,384.757053,-28.757053,315,bottom
C7,1uF,C_0402_1005Metric,380.157053,-38.857053,135,bottom
C8,1uF,C_0402_1005Metric,387.7,-34.5,45,bottom
C9,22pF,C_0402_1005Metric,378.9,-23.385,90,bottom
C10,22pF,C_0402_1005Metric,384.8,-23.3,270,bottom
C11,1uF,C_0402_1005Metric,378.442947,-29.957053,225,bottom
C12,104,C_0402_1005Metric,177.00625,-26.19375,180,bottom
C13,104,C_0402_1005Metric,196.05625,-26.19375,180,bottom
C14,104,C_0402_1005Metric,217.4875,-45.24375,180,bottom
C15,104,C_0402_1005Metric,241.3,-45.24375,180,bottom
C16,104,C_0402_1005Metric,253.20625,-26.19375,180,bottom
C17,104,C_0402_1005Metric,146.05,-7.14375,180,bottom
C18,104,C_0402_1005Metric,434.18125,-7.14375,180,bottom
C19,104,C_0402_1005Metric,186.53125,-45.24375,180,bottom
C20,104,C_0402_1005Metric,367.50625,-26.19375,180,bottom
C21,104,C_0402_1005Metric,272.25625,-26.19375,180,bottom
C22,104,C_0402_1005Metric,277.01875,11.90625,180,bottom
C23,104,C_0402_1005Metric,167.48125,-7.14375,180,bottom
C24,104,C_0402_1005Metric,362.74375,-7.14375,180,bottom
C25,104,C_0402_1005Metric,262.73125,-45.24375,180,bottom
C26,104,C_0402_1005Metric,288.925,-45.24375,180,bottom
C27,104,C_0402_1005Metric,143.815,11.90625,180,bottom
C28,104,C_0402_1005Metric,310.35625,-26.19375,180,bottom
C29,104,C_0402_1005Metric,315.11875,11.90625,180,bottom
C30,104,C_0402_1005Metric,234.15625,-26.19375,180,bottom
C31,104,C_0402_1005Metric,319.88125,-7.14375,180,bottom
C32,104,C_0402_1005Metric,365.125,-45.24375,180,bottom
C33,104,C_0402_1005Metric,434.18125,-26.19375,180,bottom
