Ref,Val,Package,PosX,PosY,Rot,Side
"C1","104","C_0402_1005Metric",291.306250,-26.193750,180.000000,bottom
"C2","104","C_0402_1005Metric",150.812500,-26.193750,180.000000,bottom
"C3","104","C_0402_1005Metric",215.106250,-26.193750,180.000000,bottom
"C4","104","C_0402_1005Metric",167.481250,-45.243750,180.000000,bottom
"C5","1uF","C_0402_1005Metric",376.357053,-35.014106,315.000000,bottom
"C6","1uF","C_0402_1005Metric",384.757053,-28.757053,315.000000,bottom
"C7","1uF","C_0402_1005Metric",380.157053,-38.857053,135.000000,bottom
"C8","1uF","C_0402_1005Metric",387.700000,-34.500000,45.000000,bottom
"C9","22pF","C_0402_1005Metric",378.900000,-23.385000,90.000000,bottom
"C10","22pF","C_0402_1005Metric",384.800000,-23.300000,270.000000,bottom
"C11","1uF","C_0402_1005Metric",378.442947,-29.957053,225.000000,bottom
"C12","104","C_0402_1005Metric",177.006250,-26.193750,180.000000,bottom
"C13","104","C_0402_1005Metric",196.056250,-26.193750,180.000000,bottom
"C14","104","C_0402_1005Metric",217.487500,-45.243750,180.000000,bottom
"C15","104","C_0402_1005Metric",241.300000,-45.243750,180.000000,bottom
"C16","104","C_0402_1005Metric",253.206250,-26.193750,180.000000,bottom
"C17","104","C_0402_1005Metric",146.050000,-7.143750,180.000000,bottom
"C18","104","C_0402_1005Metric",434.181250,-7.143750,180.000000,bottom
"C19","104","C_0402_1005Metric",186.531250,-45.243750,180.000000,bottom
"C20","104","C_0402_1005Metric",367.506250,-26.193750,180.000000,bottom
"C21","104","C_0402_1005Metric",272.256250,-26.193750,180.000000,bottom
"C22","104","C_0402_1005Metric",277.018750,11.906250,180.000000,bottom
"C23","104","C_0402_1005Metric",167.481250,-7.143750,180.000000,bottom
"C24","104","C_0402_1005Metric",362.743750,-7.143750,180.000000,bottom
"C25","104","C_0402_1005Metric",262.731250,-45.243750,180.000000,bottom
"C26","104","C_0402_1005Metric",288.925000,-45.243750,180.000000,bottom
"C27","104","C_0402_1005Metric",143.815000,11.906250,180.000000,bottom
"C28","104","C_0402_1005Metric",310.356250,-26.193750,180.000000,bottom
"C29","104","C_0402_1005Metric",315.118750,11.906250,180.000000,bottom
"C30","104","C_0402_1005Metric",234.156250,-26.193750,180.000000,bottom
"C31","104","C_0402_1005Metric",319.881250,-7.143750,180.000000,bottom
"C32","104","C_0402_1005Metric",365.125000,-45.243750,180.000000,bottom
"C33","104","C_0402_1005Metric",434.181250,-26.193750,180.000000,bottom
"C34","104","C_0402_1005Metric",162.718750,11.906250,180.000000,bottom
"C35","104","C_0402_1005Metric",348.456250,-26.193750,180.000000,bottom
"C36","104","C_0402_1005Metric",334.168750,11.906250,180.000000,bottom
"C37","104","C_0402_1005Metric",186.531250,-7.143750,180.000000,bottom
"C38","104","C_0402_1005Metric",300.831250,-7.143750,180.000000,bottom
"C39","104","C_0402_1005Metric",396.081250,-45.243750,180.000000,bottom
"C40","104","C_0402_1005Metric",324.643750,-45.243750,180.000000,bottom
"C41","104","C_0402_1005Metric",181.768750,11.906250,180.000000,bottom
"C42","104","C_0402_1005Metric",329.406250,-26.193750,180.000000,bottom
